timestamp,open,high,low,close,volume
2025-11-07 18:00:00,102397.13,102859.99,102282.2,102609.46,1585.11088
2025-11-07 19:00:00,102609.46,103395.25,102481.75,103395.25,1184.29403
2025-11-07 20:00:00,103395.92,103900.0,102958.0,103783.09,970.62813
2025-11-07 21:00:00,103783.08,103879.23,103311.33,103879.23,743.31566
2025-11-07 22:00:00,103879.22,104096.36,103595.38,103633.03,736.65333
2025-11-07 23:00:00,103633.04,103759.36,103329.79,103339.08,510.69159
2025-11-08 00:00:00,103339.09,103406.22,102539.49,102713.15,877.26495
2025-11-08 01:00:00,102713.15,103240.32,102662.25,102996.84,498.24095
2025-11-08 02:00:00,102996.85,103333.33,102766.31,102846.65,494.72835
2025-11-08 03:00:00,102846.66,103293.21,102592.75,102592.76,531.57226
2025-11-08 04:00:00,102592.76,102836.0,102409.52,102565.03,602.92361
2025-11-08 05:00:00,102565.03,102733.83,102272.66,102304.0,396.06427
2025-11-08 06:00:00,102304.01,102519.03,102092.26,102215.62,590.77493
2025-11-08 07:00:00,102215.63,102399.88,101902.64,102352.96,452.1997
2025-11-08 08:00:00,102352.96,102687.72,102156.36,102431.74,470.18368
2025-11-08 09:00:00,102431.74,102615.53,102225.52,102399.46,359.62626
2025-11-08 10:00:00,102399.45,102575.35,102310.0,102480.04,301.03917
2025-11-08 11:00:00,102480.04,102630.14,101715.76,101857.1,707.36146
2025-11-08 12:00:00,101857.1,102108.0,101731.19,102065.14,439.24627
2025-11-08 13:00:00,102065.14,102186.99,101720.67,101804.63,952.83284
2025-11-08 14:00:00,101804.62,102083.67,101454.0,101827.19,1159.38189
2025-11-08 15:00:00,101827.19,101954.0,101500.0,101711.45,511.67056
2025-11-08 16:00:00,101711.46,101963.66,101525.98,101850.22,502.57143
2025-11-08 17:00:00,101850.23,102003.57,101549.85,101994.52,479.97599
2025-11-08 18:00:00,101994.53,102219.39,101824.86,102139.53,766.44634
2025-11-08 19:00:00,102139.52,102186.87,101522.08,101989.65,371.41335
2025-11-08 20:00:00,101989.65,102172.35,101957.94,102068.06,206.6246
2025-11-08 21:00:00,102068.06,102367.72,102028.62,102272.81,234.4224
2025-11-08 22:00:00,102272.82,102426.12,102171.73,102377.46,249.46029
2025-11-08 23:00:00,102377.46,102482.2,102276.82,102312.94,234.7543
2025-11-09 00:00:00,102312.95,102337.89,101620.23,101797.74,616.42627
2025-11-09 01:00:00,101797.74,102100.0,101686.72,102045.07,373.40232
2025-11-09 02:00:00,102045.07,102045.07,101568.41,101633.25,398.65792
2025-11-09 03:00:00,101633.25,101817.2,101400.0,101662.05,767.84962
2025-11-09 04:00:00,101662.05,102130.61,101635.96,101724.91,378.19223
2025-11-09 05:00:00,101724.9,102028.07,101680.02,101928.54,291.74297
2025-11-09 06:00:00,101928.54,101980.0,101712.17,101752.83,213.04181
2025-11-09 07:00:00,101752.83,101972.9,101681.75,101944.59,218.68631
2025-11-09 08:00:00,101944.6,102048.15,101813.73,101972.94,216.7581
2025-11-09 09:00:00,101972.94,102127.26,101631.62,101657.46,411.11856
2025-11-09 10:00:00,101657.46,101918.0,101500.0,101876.36,695.1249
2025-11-09 11:00:00,101876.36,102307.68,101876.35,102239.41,502.56822
2025-11-09 12:00:00,102239.41,102425.19,102050.64,102086.9,522.32408
2025-11-09 13:00:00,102086.91,102997.38,102067.09,102911.39,788.58745
2025-11-09 14:00:00,102911.4,104041.25,102769.99,103037.9,2232.81061
2025-11-09 15:00:00,103037.9,104168.0,102972.55,103762.17,1143.9267
2025-11-09 16:00:00,103762.18,103900.53,103316.23,103845.04,741.52049
2025-11-09 17:00:00,103845.04,103964.81,103329.49,103637.57,460.77714
2025-11-09 18:00:00,103637.58,104591.32,103520.0,104512.65,773.02957
2025-11-09 19:00:00,104512.66,104805.57,104153.84,104805.57,849.18697
2025-11-09 20:00:00,104805.57,105061.08,104414.4,104633.12,700.89351
2025-11-09 21:00:00,104633.13,104845.16,104314.89,104528.82,475.91997
